,ID,Group,Feature_1,Feature_2,Feature_3
0,ID101,B,2932.67194265517,413.5455848197132,5003.631701220419
1,ID102,A,2760.145817569425,393.65484397841254,5499.932422439435
2,ID103,A,2392.7655976587457,378.0596942641029,5499.94038324218
3,ID104,B,2725.989116131011,398.3276233859957,5012.666308843402
4,ID105,B,2652.696727630027,401.2118775162152,5010.9722910549735
5,ID106,A,2535.0470088753923,390.39500694584035,5500.783649903039
6,ID107,A,2107.696010407088,395.1568794039602,5487.889167570318
7,ID108,B,2391.3706980425964,395.14932523306703,4984.600409160941
8,ID109,A,2622.1445208508935,408.5299352344204,5518.074464015041
9,ID110,B,2173.1532284615505,397.6560000201849,4980.802616311645
10,ID111,A,2451.7078943358574,377.0687022478104,5509.376639038677
11,ID112,C,2375.0197409950524,372.9406705098278,-2113.446957711462
12,ID113,B,2619.580463889811,362.8371773672986,4997.354820001441
13,ID114,C,2092.433611515108,393.4270487772088,-2092.769773453852
14,ID115,A,3117.8311591114284,385.71463974071435,5491.441148801558
15,ID116,C,2172.3959507637032,407.9153898891596,-2091.1990281374347
16,ID117,B,2285.091174381173,414.8033693143453,4994.996975151274
17,ID118,C,2400.309962015097,398.9403820993361,-2100.2358409060735
18,ID119,A,2458.3312209970845,408.47404119346936,5487.3158143193605
19,ID120,A,2124.4116846866464,415.28115867897657,5489.412617927533
20,ID121,C,2390.8078872671827,408.64086881037593,-2093.2930269650574
21,ID122,A,2531.965911758052,400.24224709161103,5510.669154321635
22,ID123,B,2670.6135501088925,433.27906014701017,5013.026919386049
23,ID124,C,2386.295751767147,403.8136514033898,-2103.049041513429
24,ID125,C,2727.969445920619,385.3568050057926,-2107.885119097762
25,ID126,A,2616.549645215414,401.95979468991516,5499.000998430431
26,ID127,B,2145.1742546432515,393.10596376498097,5018.55379124938
27,ID128,B,2003.2079318054234,410.2509760057991,4991.185346217362
28,ID129,C,2627.953489603313,382.59972263019444,-2089.3855873092016
29,ID130,A,2486.735397419725,418.7913933048875,5497.694522919887
30,ID131,C,2814.0885059835655,380.5197985536231,-2095.1289178736497
31,ID132,B,2745.1388231673973,409.50235782533235,5018.911496850478
32,ID133,B,2183.1656038851456,424.6035657065521,4993.474175258471
33,ID134,B,2567.438443303914,412.61359548867466,5005.9248939162035
34,ID135,B,2723.024449163661,405.48670311360706,5004.949477298325
35,ID136,C,1930.04231587805,408.429217510949,-2098.3530507603205
36,ID137,B,2274.4894694045347,407.7267495447316,4988.814577922815
37,ID138,B,3159.800532734215,389.33528756687963,4996.922103037397
38,ID139,A,2323.8753467571423,423.27897704593136,5495.5276759088165
39,ID140,A,2718.8837281243595,390.44468395941743,5501.945797832711
40,ID141,B,2895.1093203761216,401.8234644893307,4989.148690767123
41,ID142,A,2400.1477431410335,416.33639286260956,5475.61479671241
42,ID143,A,2019.2020082840136,397.6211528447479,5521.186306805272
43,ID144,B,2591.643164746889,421.3090835480318,5002.354756216363
44,ID145,C,2694.4839363662154,401.8830370012912,-2080.8224393870346
45,ID146,B,2079.7777982482517,404.47418911764083,5000.982836141517
46,ID147,A,2552.249512171951,391.1441422826331,5508.439654564714
47,ID148,C,1987.6047484927958,423.8169316184224,-2081.2999716824074
48,ID149,C,2379.997834112888,408.56126210622864,-2109.948774154761
49,ID150,B,2469.0249869791382,384.30337415956933,4987.220621195263
50,ID151,B,2447.7945168628644,416.0040914362168,5001.841621612163
51,ID152,B,2858.5217948895292,399.05650731748864,5006.854047683836
52,ID153,A,2385.7229295864113,404.2354501051686,5485.107525892684
53,ID154,A,2378.7005005260976,417.4534500181147,5504.505259222331
54,ID155,B,1981.2754345010553,403.1678877042519,4998.743949454131
55,ID156,A,2594.2339129932307,391.08357778018916,5524.012746143339
56,ID157,C,3022.54757439056,420.4755927377305,-2076.8724271013098
57,ID158,A,2484.9636456220474,413.17096572204304,5505.652335915817
58,ID159,A,2883.7615107949036,422.56228844972406,5498.462099006797
59,ID160,B,2823.166604647053,378.0101755182044,4980.774170480605
60,ID161,B,2653.241196499343,417.16019824610095,5003.010068757867
61,ID162,C,2226.1810699264147,393.31297964292054,-2102.946819675125
62,ID163,A,2999.4627750299696,389.45313621807895,5479.961703122246
63,ID164,A,2828.1305675889967,369.67100327825494,5475.276341760732
64,ID165,B,2268.7624272385656,370.1333773929944,4983.051769504762
65,ID166,C,2509.5037885072707,409.88553005473153,-2092.744351743319
66,ID167,C,1993.899104112638,405.86359926726345,-2087.4236512779044
67,ID168,B,1632.087239443127,422.15211043075385,5001.418129640152
68,ID169,A,2253.735065008089,415.24605789801575,5533.924895745779
69,ID170,C,2572.7167537831338,406.9146878343333,-2095.1384088679583
70,ID171,B,2890.672229371028,411.3383738721436,5007.229554926536
71,ID172,C,2322.2768963021263,404.35659016449927,-2085.5969888208474
72,ID173,B,2700.7730484278736,391.6314439247473,4994.007749238508
73,ID174,A,2457.1319307255703,395.8981516049676,5502.43824715684
74,ID175,B,1762.042448993701,418.4921311297378,4996.563052255043
75,ID176,B,2949.983185768142,402.25255008020315,5009.731096547542
